date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:12:27	2042/2042	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Sep%202022%2009:37:52%20GMT	https://www.ebd114nxt.co.in/images/aminity/icon2.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/aminity/icon2.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:27	1419/1419	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Sep%202022%2013:01:32%20GMT	https://www.ebd114nxt.co.in/images/aminity/icon3.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/aminity/icon3.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:27	1689/1689	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Sep%202022%2009:37:52%20GMT	https://www.ebd114nxt.co.in/images/aminity/icon4.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/aminity/icon4.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:27	2125/2125	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Sep%202022%2009:37:52%20GMT	https://www.ebd114nxt.co.in/images/aminity/icon5.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/aminity/icon5.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:27	4120/4120	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Sep%202022%2009:37:52%20GMT	https://www.ebd114nxt.co.in/images/aminity/icon6.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/aminity/icon6.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:28	2387/2387	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Sep%202022%2009:37:52%20GMT	https://www.ebd114nxt.co.in/images/aminity/icon7.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/aminity/icon7.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:28	3239/3239	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2016%20Sep%202022%2009:37:52%20GMT	https://www.ebd114nxt.co.in/images/aminity/icon8.svg	C:/My%20Web%20Sites/emmar/www.ebd114nxt.co.in/images/aminity/icon8.svg	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:28	80457/80457	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213a49-d7zwyIL6S+j76tNQUsOalE+QNeM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.1/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/emmar/cdn.jsdelivr.net/npm/bootstrap@5.2.1/dist/js/bootstrap.bundle.min.js	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:29	105639/105639	---M-Z	200	added ('OK')	application/javascript	etag:W/%2219ca7-YDrz4C84GmWPE164D07veMx+dQ0%22	https://cdn.jsdelivr.net/npm/@fancyapps/ui@4.0/dist/fancybox.umd.js	C:/My%20Web%20Sites/emmar/cdn.jsdelivr.net/npm/@fancyapps/ui@4.0/dist/fancybox.umd.js	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:29	89664/89664	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263090485-15e40%22	https://code.jquery.com/jquery-3.6.1.min.js	C:/My%20Web%20Sites/emmar/code.jquery.com/jquery-3.6.1.min.js	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
17:12:29	23070/23070	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a1e-IUhhlLqiLrEVX+mL969jFOd3PMc%22	https://cdn.jsdelivr.net/jquery.validation/1.16.0/jquery.validate.min.js	C:/My%20Web%20Sites/emmar/cdn.jsdelivr.net/jquery.validation/1.16.0/jquery.validate.min.js	(from https://www.ebd114nxt.co.in/?utm_source=Digital&utm_medium=Search&utm_campaign=EBD114NXT/Propstory/Google2&utm_campaign_code=EBD114NXTPSG2&gclid=CjwKCAjw__ihBhADEiwAXEazJkJR5z_0QUWktK9rhY6MvlPDzvNr1acdzmF7JcRTSdxUBHQ13Q2OxBoCL3IQAvD_BwE)
